Id,Label,Authority,Hub,modularity_class,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
11161404,,0,0.000018,2,0.000013,0,1,1,0,1,1
10767783,,0.00003,0.00008,2,0.000021,1,4,5,1,4,5
10646903,,0,0.000018,2,0.000013,0,1,1,0,1,1
10638982,,0.000086,0.000375,2,0.000346,6,7,13,6,7,13
10577929,,0,0.000018,2,0.000013,0,1,1,0,1,1
10188893,,0.000033,0.000018,2,0.000142,5,1,6,5,1,6
9742920,,0.000002,0.00008,2,0.000017,1,3,4,1,3,4
9443863,,0.002466,0.000038,2,0.004475,152,4,156,152,4,156
30113427,,0,0.001351,51,0.000013,0,25,25,0,25,25
25951739,,0.000062,0.001891,5,0.000027,3,10,13,3,10,13
25802341,,0,0.00028,5,0.000013,0,5,5,0,5,5
22734169,,0,0.001233,5,0.000018,1,8,9,1,8,9
22267502,,0,0.000006,2,0.000013,0,1,1,0,1,1
21874107,,0,0.0001,2,0.000013,0,2,2,0,2,2
20953242,,0,0.000006,2,0.000013,0,1,1,0,1,1
16973716,,0.000106,0.000405,2,0.000191,19,3,22,19,3,22
15083174,,0.003145,0.000312,5,0.000287,24,2,26,24,2,26
22993654,,0,0.000001,2,0.000013,0,1,1,0,1,1
21829373,,0.000107,0.000029,29,0.000283,30,3,33,30,3,33
20604969,,0,0.000004,2,0.000013,0,2,2,0,2,2
18275599,,0.000024,0.000014,28,0.000139,3,4,7,3,4,7
15987451,,0.000093,0.000923,28,0.000271,13,7,20,13,7,20
15642173,,0.000229,0.000394,28,0.000336,25,6,31,25,6,31
11461078,,0.000125,0.000005,0,0.000265,21,3,24,21,3,24
9579822,,0,0.000001,2,0.000013,0,1,1,0,1,1
29901183,,0,0.000239,2,0.000013,0,12,12,0,12,12
29881398,,0,0.000511,22,0.000013,0,9,9,0,9,9
29755873,,0,0.000175,22,0.000013,0,7,7,0,7,7
29487695,,0,0.000146,2,0.000013,0,8,8,0,8,8
29088781,,0,0.000226,2,0.000013,0,16,16,0,16,16
28918466,,0,0.000744,2,0.000013,0,34,34,0,34,34
28871186,,0,0.000022,2,0.000013,0,1,1,0,1,1
28600340,,0,0.000058,2,0.000013,0,3,3,0,3,3
28166811,,0,0.000164,2,0.000013,0,13,13,0,13,13
27471560,,0.001728,0.024894,5,0.000044,6,13,19,6,13,19
26221963,,0.00004,0.000458,35,0.000019,4,11,15,4,11,15
25814778,,0,0.00007,2,0.000013,0,9,9,0,9,9
25709717,,0,0.000022,2,0.000013,0,1,1,0,1,1
24770866,,0,0.000195,2,0.000013,0,5,5,0,5,5
24443550,,0,0.000022,2,0.000013,0,1,1,0,1,1
23668689,,0,0.000023,30,0.000013,0,2,2,0,2,2
22430266,,0.000161,0.002688,5,0.000073,7,13,20,7,13,20
20049345,,0.000179,0.00033,32,0.000209,8,2,10,8,2,10
19309274,,0,0.001227,5,0.000013,0,5,5,0,5,5
16537453,,0.000852,0.000898,0,0.000683,29,7,36,29,7,36
15588316,,0,0.000022,2,0.000013,0,1,1,0,1,1
12373604,,0.00009,0.000517,17,0.000172,16,4,20,16,4,20
11434878,,0.000003,0.000027,2,0.000016,1,2,3,1,2,3
11179017,,0.019691,0.000599,2,0.008271,179,8,187,179,8,187
10978226,,0.001398,0.00047,2,0.001274,18,5,23,18,5,23
10441573,,0,0.000027,2,0.000013,0,2,2,0,2,2
10090881,,0.000383,0.000028,2,0.002261,35,3,38,35,3,38
29126202,,0,0.000337,8,0.000013,0,4,4,0,4,4
